epoch,sample_id,semantic_length,padded_length,position_shift,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,ar_mean_accuracy,ar_q0_accuracy
10,ulsan_013695,12,12,0,5.9221005737781525,0.06964285671710968,0.17142857611179352,0.06285714358091354,0.01785714365541935,0.11428571492433548
10,ulsan_013695,12,24,12,5.914878100156784,0.07678571343421936,0.20000000298023224,0.06857142597436905,0.01964285783469677,0.11428571492433548
10,ulsan_013695,12,36,24,5.914957016706467,0.07500000298023224,0.20000000298023224,0.06666666269302368,0.02678571455180645,0.11428571492433548
10,ulsan_013695,12,48,36,5.914294451475143,0.07678571343421936,0.20000000298023224,0.06857142597436905,0.03392857313156128,0.11428571492433548
10,ulsan_014611,10,10,0,6.425038531422615,0.02976190485060215,0.190476194024086,0.01904761977493763,0.0059523810632526875,0.0476190485060215
10,ulsan_014611,10,24,14,6.426126092672348,0.032738097012043,0.190476194024086,0.02222222276031971,0.0059523810632526875,0.0476190485060215
10,ulsan_014611,10,36,26,6.427825406193733,0.02976190485060215,0.190476194024086,0.01904761977493763,0.0059523810632526875,0.0476190485060215
10,ulsan_014611,10,48,38,6.42181770503521,0.02976190485060215,0.190476194024086,0.01904761977493763,0.0059523810632526875,0.0476190485060215
10,ulsan_015464,24,24,0,5.90318588912487,0.06404320895671844,0.3086419701576233,0.047736626118421555,0.0069444444961845875,0.012345679104328156
10,ulsan_015464,24,36,12,5.9046483635902405,0.06558641791343689,0.29629629850387573,0.05020575970411301,0.0069444444961845875,0.012345679104328156
10,ulsan_015464,24,48,24,5.903748035430908,0.06172839552164078,0.29629629850387573,0.04609053581953049,0.006172839552164078,0.012345679104328156
10,ulsan_016385,10,10,0,6.092565253376961,0.04076087102293968,0.260869562625885,0.02608695812523365,0.0013586956774815917,0.021739130839705467
10,ulsan_016385,10,24,14,6.100233241915703,0.03532608598470688,0.21739131212234497,0.023188406601548195,0.0013586956774815917,0.021739130839705467
10,ulsan_016385,10,36,26,6.103772073984146,0.03532608598470688,0.239130437374115,0.021739130839705467,0.0013586956774815917,0.021739130839705467
10,ulsan_016385,10,48,38,6.1039978712797165,0.032608695328235626,0.21739131212234497,0.02028985507786274,0.0013586956774815917,0.021739130839705467
10,ulsan_017386,30,30,0,6.345066785812378,0.024364406242966652,0.08474576473236084,0.020338984206318855,0.0021186440717428923,0.033898305147886276
10,ulsan_017386,30,36,6,6.347745031118393,0.02330508455634117,0.08474576473236084,0.019209040328860283,0.006355931982398033,0.033898305147886276
10,ulsan_017386,30,48,18,6.344370603561401,0.026483051478862762,0.08474576473236084,0.02259887009859085,0.0052966102957725525,0.033898305147886276
10,ulsan_018314,13,13,0,6.239890962839127,0.04531250149011612,0.20000000298023224,0.03500000014901161,0.004687500186264515,0.02500000037252903
10,ulsan_018314,13,24,11,6.24741318821907,0.046875,0.20000000298023224,0.03666666895151138,0.004687500186264515,0.02500000037252903
10,ulsan_018314,13,36,23,6.2496611177921295,0.04531250149011612,0.20000000298023224,0.03500000014901161,0.004687500186264515,0.02500000037252903
10,ulsan_018314,13,48,35,6.247651278972626,0.046875,0.20000000298023224,0.03666666895151138,0.004687500186264515,0.02500000037252903
10,ulsan_019427,22,22,0,6.4807941019535065,0.03443877398967743,0.16326530277729034,0.025850340723991394,,
10,ulsan_019427,22,24,2,6.476808577775955,0.03698979690670967,0.18367347121238708,0.027210883796215057,,
10,ulsan_019427,22,36,14,6.4797722697258,0.03826530650258064,0.18367347121238708,0.02857142873108387,,
10,ulsan_019427,22,48,26,6.479206830263138,0.03698979690670967,0.20408162474632263,0.025850340723991394,,
10,ulsan_020424,31,31,0,6.249932020902634,0.0373263880610466,0.1388888955116272,0.03055555559694767,,
10,ulsan_020424,31,36,5,6.2457254230976105,0.0373263880610466,0.1111111119389534,0.032407406717538834,,
10,ulsan_020424,31,48,17,6.248296648263931,0.0364583320915699,0.125,0.03055555559694767,,
10,ulsan_021298,17,17,0,6.033233493566513,0.0491071455180645,0.261904776096344,0.03492063656449318,,
10,ulsan_021298,17,24,7,6.030672371387482,0.0476190485060215,0.261904776096344,0.03333333507180214,,
10,ulsan_021298,17,36,19,6.03142836689949,0.0476190485060215,0.261904776096344,0.03333333507180214,,
10,ulsan_021298,17,48,31,6.030202478170395,0.0461309514939785,0.261904776096344,0.0317460335791111,,
10,ulsan_022223,4,4,0,6.257857263088226,0.03125,0.3333333432674408,0.01111111044883728,,
10,ulsan_022223,4,24,20,6.203906029462814,0.0416666679084301,0.3333333432674408,0.02222222089767456,,
10,ulsan_022223,4,36,32,6.204852283000946,0.0381944440305233,0.2777777910232544,0.02222222089767456,,
10,ulsan_022223,4,48,44,6.207462519407272,0.0416666679084301,0.3333333432674408,0.02222222089767456,,
10,ulsan_023197,27,27,0,6.758392035961151,0.03125,0.1190476194024086,0.02539682574570179,,
