epoch,left,right,overlap_frames,mean_token_agreement,q0_agreement,residual_agreement,exact_sequence_same
10,3,20,100,0.5418750047683716,0.8100000023841858,0.5239999890327454,False
10,4,5,100,0.5024999976158142,1.0,0.46933332085609436,False
10,4,6,100,0.3799999952316284,0.07000000029802322,0.40066665410995483,False
10,4,7,100,0.778124988079071,0.07000000029802322,0.8253333568572998,False
10,4,8,100,0.956250011920929,0.949999988079071,0.9566666483879089,False
10,4,9,100,0.4137499928474426,0.07999999821186066,0.4359999895095825,False
10,4,10,100,0.38374999165534973,0.07000000029802322,0.4046666622161865,False
10,4,11,100,0.40187498927116394,0.07000000029802322,0.42399999499320984,False
10,4,12,100,0.37187498807907104,0.07999999821186066,0.39133334159851074,False
10,4,13,100,0.375,0.07000000029802322,0.39533331990242004,False
10,4,14,100,0.5074999928474426,1.0,0.47466665506362915,False
10,4,15,80,0.23593750596046448,0.9750000238418579,0.18666666746139526,False
10,4,16,100,0.21437500417232513,0.9599999785423279,0.16466666758060455,False
10,4,17,100,0.40687501430511475,0.07000000029802322,0.42933332920074463,False
10,4,18,32,0.25390625,0.9375,0.2083333283662796,False
10,4,19,100,0.41187500953674316,0.07000000029802322,0.4346666634082794,False
10,4,20,100,0.7768750190734863,0.07000000029802322,0.8240000009536743,False
10,5,6,100,0.19374999403953552,0.07000000029802322,0.20200000703334808,False
10,5,7,100,0.39375001192092896,0.07000000029802322,0.4153333306312561,False
10,5,8,100,0.5043749809265137,0.949999988079071,0.47466665506362915,False
10,5,9,100,0.2224999964237213,0.07999999821186066,0.23199999332427979,False
10,5,10,100,0.19249999523162842,0.07000000029802322,0.2006666660308838,False
10,5,11,100,0.24437500536441803,0.07000000029802322,0.25600001215934753,False
10,5,12,100,0.19687500596046448,0.07999999821186066,0.20466665923595428,False
10,5,13,100,0.1912499964237213,0.07000000029802322,0.1993333399295807,False
10,5,14,100,0.26249998807907104,1.0,0.2133333384990692,False
10,5,15,80,0.4140625,0.9750000238418579,0.3766666650772095,False
10,5,16,100,0.34937500953674316,0.9599999785423279,0.3086666762828827,False
10,5,17,100,0.2331250011920929,0.07000000029802322,0.24400000274181366,False
10,5,18,32,0.59375,0.9375,0.5708333253860474,False
10,5,19,100,0.22562499344348907,0.07000000029802322,0.23600000143051147,False
10,5,20,100,0.39500001072883606,0.07000000029802322,0.4166666567325592,False
10,6,7,100,0.4737499952316284,0.9800000190734863,0.4399999976158142,False
10,6,8,100,0.3812499940395355,0.10000000149011612,0.4000000059604645,False
10,6,9,100,0.7368749976158142,0.9200000166893005,0.7246666550636292,False
10,6,10,100,0.8681250214576721,1.0,0.859333336353302,False
10,6,11,100,0.5631250143051147,0.7099999785423279,0.5533333420753479,False
10,6,12,100,0.8662499785423279,0.9200000166893005,0.862666666507721,False
10,6,13,100,0.8462499976158142,0.9900000095367432,0.8366666436195374,False
10,6,14,100,0.46687498688697815,0.07000000029802322,0.4933333396911621,False
10,6,15,80,0.21718749403953552,0.11249999701976776,0.2241666615009308,False
10,6,16,100,0.23749999701976776,0.09000000357627869,0.2473333328962326,False
10,6,17,100,0.6762499809265137,0.8899999856948853,0.6620000004768372,False
10,6,18,32,0.208984375,0.28125,0.20416666567325592,False
10,6,19,100,0.7293750047683716,0.8600000143051147,0.7206666469573975,False
10,6,20,100,0.47312501072883606,0.9700000286102295,0.4399999976158142,False
10,7,8,100,0.768750011920929,0.07999999821186066,0.8146666884422302,False
10,7,9,100,0.5493749976158142,0.9200000166893005,0.5246666669845581,False
10,7,10,100,0.4806250035762787,0.9800000190734863,0.44733333587646484,False
10,7,11,100,0.518750011920929,0.7099999785423279,0.5059999823570251,False
10,7,12,100,0.46000000834465027,0.9399999976158142,0.42800000309944153,False
10,7,13,100,0.4712499976158142,0.9700000286102295,0.43799999356269836,False
10,7,14,100,0.4793750047683716,0.07000000029802322,0.5066666603088379,False
10,7,15,80,0.15625,0.11249999701976776,0.15916666388511658,False
10,7,16,100,0.1525000035762787,0.07999999821186066,0.15733332931995392,False
10,7,17,100,0.5456249713897705,0.8899999856948853,0.5226666927337646,False
10,7,18,32,0.119140625,0.28125,0.10833333432674408,False
10,7,19,100,0.5456249713897705,0.8600000143051147,0.5246666669845581,False
10,7,20,100,0.9937499761581421,0.9900000095367432,0.9940000176429749,False
10,8,9,100,0.4050000011920929,0.07999999821186066,0.4266666769981384,False
10,8,10,100,0.3799999952316284,0.10000000149011612,0.3986666798591614,False
10,8,11,100,0.39500001072883606,0.09000000357627869,0.4153333306312561,False
10,8,12,100,0.3656249940395355,0.07000000029802322,0.3853333294391632,False
10,8,13,100,0.37187498807907104,0.10000000149011612,0.38999998569488525,False
10,8,14,100,0.4793750047683716,0.949999988079071,0.4480000138282776,False
