epoch,sample_id,switch_frame,frame,relative_to_switch,frame_token_accuracy,q0_correct,residual_accuracy,cumulative_token_accuracy,stop_probability,teacher_frame_token_accuracy,teacher_q0_correct
10,ulsan_000006,24,18,-6,0.0,0.0,0.0,0.042763158679008484,0.001068115234375,0.0625,0.0
10,ulsan_000006,24,19,-5,0.0,0.0,0.0,0.04062499850988388,0.000804901123046875,0.0,0.0
10,ulsan_000006,24,20,-4,0.0,0.0,0.0,0.0386904776096344,0.00141143798828125,0.0,0.0
10,ulsan_000006,24,21,-3,0.0,0.0,0.0,0.03693181648850441,0.001068115234375,0.0,0.0
10,ulsan_000006,24,22,-2,0.0,0.0,0.0,0.03532608598470688,0.000804901123046875,0.0,0.0
10,ulsan_000006,24,23,-1,0.0,0.0,0.0,0.0338541679084301,0.0012054443359375,0.0,0.0
10,ulsan_000006,24,24,0,0.0,0.0,0.0,0.032499998807907104,0.00113677978515625,0.0625,0.0
10,ulsan_000006,24,25,1,0.0,0.0,0.0,0.03125,0.00124359130859375,0.0625,0.0
10,ulsan_000006,24,26,2,0.0,0.0,0.0,0.030092593282461166,0.0012054443359375,0.0625,0.0
10,ulsan_000006,24,27,3,0.0,0.0,0.0,0.02901785634458065,0.0012054443359375,0.0,0.0
10,ulsan_000006,24,28,4,0.0,0.0,0.0,0.02801724150776863,0.00145721435546875,0.0,0.0
10,ulsan_000006,24,29,5,0.0,0.0,0.0,0.02708333358168602,0.0013275146484375,0.0,0.0
10,ulsan_000006,24,30,6,0.0,0.0,0.0,0.026209676638245583,0.00136566162109375,0.0,0.0
10,ulsan_000006,24,31,7,0.0,0.0,0.0,0.025390625,0.00154876708984375,0.0625,1.0
10,ulsan_000006,24,32,8,0.0,0.0,0.0,0.024621212854981422,0.003082275390625,0.0,0.0
10,ulsan_000006,24,33,9,0.0,0.0,0.0,0.02389705926179886,0.00186920166015625,0.0625,1.0
10,ulsan_000006,24,34,10,0.0,0.0,0.0,0.02321428619325161,0.00170135498046875,0.0625,0.0
10,ulsan_000006,24,35,11,0.0,0.0,0.0,0.0225694440305233,0.0032806396484375,0.0625,0.0
10,ulsan_000006,24,36,12,0.0,0.0,0.0,0.0219594594091177,0.00186920166015625,0.0,0.0
10,ulsan_000006,24,37,13,0.0,0.0,0.0,0.021381579339504242,0.002471923828125,0.0,0.0
10,ulsan_000006,24,38,14,0.0,0.0,0.0,0.02083333395421505,0.0284423828125,0.0625,0.0
10,ulsan_000006,24,39,15,0.0,0.0,0.0,0.02031249925494194,0.9375,0.0,0.0
10,ulsan_000006,24,40,16,0.0,0.0,0.0,0.01981707289814949,0.9765625,0.0,0.0
10,ulsan_000006,24,41,17,0.0625,0.0,0.06666667014360428,0.02083333395421505,0.97265625,0.0625,0.0
10,ulsan_000006,24,42,18,0.0,0.0,0.0,0.020348837599158287,0.92578125,0.0,0.0
10,ulsan_000006,24,43,19,0.0,0.0,0.0,0.019886363297700882,0.314453125,0.0625,1.0
10,ulsan_000006,24,44,20,0.0,0.0,0.0,0.01944444514811039,0.00830078125,0.0,0.0
10,ulsan_000006,24,45,21,0.0,0.0,0.0,0.019021738320589066,0.00421142578125,0.0625,0.0
10,ulsan_000006,24,46,22,0.0,0.0,0.0,0.018617020919919014,0.0057373046875,0.0625,0.0
10,ulsan_000006,24,47,23,0.0,0.0,0.0,0.01822916604578495,0.00433349609375,0.0,0.0
10,ulsan_000006,38,0,-38,0.0625,1.0,0.0,0.0625,0.00170135498046875,0.0625,1.0
10,ulsan_000006,38,1,-37,0.0625,1.0,0.0,0.0625,0.00113677978515625,0.0625,1.0
10,ulsan_000006,38,2,-36,0.0625,1.0,0.0,0.0625,0.00150299072265625,0.125,1.0
10,ulsan_000006,38,3,-35,0.0,0.0,0.0,0.046875,0.00186920166015625,0.0625,0.0
10,ulsan_000006,38,4,-34,0.0,0.0,0.0,0.03750000149011612,0.0023956298828125,0.125,0.0
10,ulsan_000006,38,5,-33,0.0,0.0,0.0,0.03125,0.0021820068359375,0.0625,0.0
10,ulsan_000006,38,6,-32,0.0,0.0,0.0,0.02678571455180645,0.00128173828125,0.0,0.0
10,ulsan_000006,38,7,-31,0.0,0.0,0.0,0.0234375,0.00075531005859375,0.0,0.0
10,ulsan_000006,38,8,-30,0.0,0.0,0.0,0.02083333395421505,0.000732421875,0.0,0.0
10,ulsan_000006,38,9,-29,0.0,0.0,0.0,0.01875000074505806,0.000881195068359375,0.0,0.0
10,ulsan_000006,38,10,-28,0.0,0.0,0.0,0.017045455053448677,0.00186920166015625,0.125,0.0
10,ulsan_000006,38,11,-27,0.1875,0.0,0.20000000298023224,0.03125,0.0038299560546875,0.125,0.0
10,ulsan_000006,38,12,-26,0.0,0.0,0.0,0.028846153989434242,0.003082275390625,0.125,0.0
10,ulsan_000006,38,13,-25,0.1875,1.0,0.13333334028720856,0.0401785708963871,0.006103515625,0.25,1.0
10,ulsan_000006,38,14,-24,0.0,0.0,0.0,0.03750000149011612,0.00506591796875,0.0625,0.0
10,ulsan_000006,38,15,-23,0.1875,0.0,0.20000000298023224,0.046875,0.006500244140625,0.3125,0.0
10,ulsan_000006,38,16,-22,0.0625,1.0,0.0,0.04779411852359772,0.003173828125,0.0625,1.0
10,ulsan_000006,38,17,-21,0.0,0.0,0.0,0.0451388880610466,0.0013275146484375,0.0,0.0
10,ulsan_000006,38,18,-20,0.0,0.0,0.0,0.042763158679008484,0.001068115234375,0.0625,0.0
10,ulsan_000006,38,19,-19,0.0,0.0,0.0,0.04062499850988388,0.000804901123046875,0.0,0.0
10,ulsan_000006,38,20,-18,0.0,0.0,0.0,0.0386904776096344,0.00141143798828125,0.0,0.0
10,ulsan_000006,38,21,-17,0.0,0.0,0.0,0.03693181648850441,0.001068115234375,0.0,0.0
10,ulsan_000006,38,22,-16,0.0,0.0,0.0,0.03532608598470688,0.000804901123046875,0.0,0.0
10,ulsan_000006,38,23,-15,0.0,0.0,0.0,0.0338541679084301,0.0012054443359375,0.0,0.0
10,ulsan_000006,38,24,-14,0.0,0.0,0.0,0.032499998807907104,0.00113677978515625,0.0625,0.0
10,ulsan_000006,38,25,-13,0.0,0.0,0.0,0.03125,0.00102996826171875,0.0625,0.0
10,ulsan_000006,38,26,-12,0.0,0.0,0.0,0.030092593282461166,0.0012054443359375,0.0625,0.0
10,ulsan_000006,38,27,-11,0.0,0.0,0.0,0.02901785634458065,0.00124359130859375,0.0,0.0
10,ulsan_000006,38,28,-10,0.0,0.0,0.0,0.02801724150776863,0.00124359130859375,0.0,0.0
10,ulsan_000006,38,29,-9,0.0,0.0,0.0,0.02708333358168602,0.000667572021484375,0.0,0.0
10,ulsan_000006,38,30,-8,0.0,0.0,0.0,0.026209676638245583,0.00186920166015625,0.0,0.0
10,ulsan_000006,38,31,-7,0.0625,1.0,0.0,0.02734375,0.00141143798828125,0.0625,1.0
10,ulsan_000006,38,32,-6,0.0,0.0,0.0,0.02651515230536461,0.001068115234375,0.0,0.0
10,ulsan_000006,38,33,-5,0.0625,1.0,0.0,0.02757352963089943,0.001068115234375,0.0625,1.0
10,ulsan_000006,38,34,-4,0.0,0.0,0.0,0.02678571455180645,0.0033721923828125,0.0625,0.0
10,ulsan_000006,38,35,-3,0.0,0.0,0.0,0.02604166604578495,0.078125,0.0625,0.0
10,ulsan_000006,38,36,-2,0.0,0.0,0.0,0.025337837636470795,0.82421875,0.0,0.0
10,ulsan_000006,38,37,-1,0.0,0.0,0.0,0.024671053513884544,0.00225830078125,0.0,0.0
10,ulsan_000006,38,38,0,0.0,0.0,0.0,0.024038461968302727,0.0032806396484375,0.0625,0.0
10,ulsan_000006,38,39,1,0.0,0.0,0.0,0.0234375,0.0113525390625,0.0,0.0
