epoch,sample_id,mode,switch_frame,target_frames,generated_frames,length_ratio,mean_accuracy,q0_accuracy,residual_accuracy,per_q_accuracy,first_incorrect_frame,first_q0_incorrect_frame
6,ulsan_001087,switch_rollout,17,71,71,1.0,0.022887323750182986,0.0845070406794548,0.018779342621564867,"[0.0845070406794548, 0.0422535203397274, 0.056338027119636536, 0.07042253762483597, 0.0, 0.028169013559818268, 0.028169013559818268, 0.0, 0.0, 0.014084506779909134, 0.014084506779909134, 0.028169013559818268, 0.0, 0.0, 0.0, 0.0]",0,2
6,ulsan_001087,switch_rollout,35,71,71,1.0,0.02552816830575466,0.1267605572938919,0.018779342373212177,"[0.1267605572938919, 0.0422535203397274, 0.056338027119636536, 0.0845070406794548, 0.0, 0.014084506779909134, 0.014084506779909134, 0.0, 0.0, 0.014084506779909134, 0.028169013559818268, 0.028169013559818268, 0.0, 0.0, 0.0, 0.0]",0,2
6,ulsan_001087,switch_rollout,61,71,71,1.0,0.030809858813881874,0.1690140813589096,0.02159624397754669,"[0.1690140813589096, 0.056338027119636536, 0.07042253762483597, 0.0845070406794548, 0.0, 0.014084506779909134, 0.028169013559818268, 0.014084506779909134, 0.0, 0.014084506779909134, 0.014084506779909134, 0.028169013559818268, 0.0, 0.0, 0.0, 0.0]",0,2
6,ulsan_001087,teacher_forced,-1,71,71,1.0,0.05809859000146389,0.18309858441352844,0.04976525704065959,"[0.18309858441352844, 0.0845070406794548, 0.1267605572938919, 0.1267605572938919, 0.07042253762483597, 0.0845070406794548, 0.0422535203397274, 0.028169013559818268, 0.014084506779909134, 0.028169013559818268, 0.014084506779909134, 0.056338027119636536, 0.028169013559818268, 0.014084506779909134, 0.014084506779909134, 0.014084506779909134]",0,2
6,ulsan_001334,normal_ar,0,42,250,5.9523809523809526,0.028273810050450265,0.095238097012043,0.02380952425301075,"[0.095238097012043, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.0476190485060215, 0.0]",0,4
6,ulsan_001334,forced_gt_length,0,42,42,1.0,0.028273810050450265,0.095238097012043,0.02380952425301075,"[0.095238097012043, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.0476190485060215, 0.0]",0,4
6,ulsan_001334,switch_rollout,10,42,42,1.0,0.026785714784637094,0.095238097012043,0.022222222636143367,"[0.095238097012043, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.0]",0,1
6,ulsan_001334,switch_rollout,21,42,42,1.0,0.02529761951882392,0.095238097012043,0.020634921019275984,"[0.095238097012043, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.0]",0,1
6,ulsan_001334,switch_rollout,32,42,42,1.0,0.026785714784637094,0.095238097012043,0.022222222636143367,"[0.095238097012043, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.02380952425301075, 0.02380952425301075, 0.0, 0.02380952425301075, 0.0]",0,1
6,ulsan_001334,teacher_forced,-1,42,42,1.0,0.043154762824997306,0.095238097012043,0.03968254054586093,"[0.095238097012043, 0.095238097012043, 0.02380952425301075, 0.0476190485060215, 0.095238097012043, 0.02380952425301075, 0.0476190485060215, 0.0714285746216774, 0.0476190485060215, 0.0, 0.02380952425301075, 0.02380952425301075, 0.0476190485060215, 0.0, 0.02380952425301075, 0.02380952425301075]",0,1
6,ulsan_001743,normal_ar,0,26,250,9.615384615384615,0.03605769341811538,0.03846153989434242,0.03589743698636691,"[0.03846153989434242, 0.03846153989434242, 0.0, 0.07692307978868484, 0.0, 0.11538461595773697, 0.07692307978868484, 0.0, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.07692307978868484, 0.03846153989434242]",0,1
6,ulsan_001743,forced_gt_length,0,26,26,1.0,0.03605769341811538,0.03846153989434242,0.03589743698636691,"[0.03846153989434242, 0.03846153989434242, 0.0, 0.07692307978868484, 0.0, 0.11538461595773697, 0.07692307978868484, 0.0, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.07692307978868484, 0.03846153989434242]",0,1
6,ulsan_001743,switch_rollout,6,26,26,1.0,0.014423077460378408,0.1538461595773697,0.005128205319245656,"[0.1538461595773697, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,4
6,ulsan_001743,switch_rollout,13,26,26,1.0,0.03125000116415322,0.1538461595773697,0.023076923936605452,"[0.1538461595773697, 0.07692307978868484, 0.0, 0.07692307978868484, 0.0, 0.0, 0.03846153989434242, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.0]",0,4
6,ulsan_001743,switch_rollout,16,26,26,1.0,0.021634616190567613,0.1538461595773697,0.012820513298114141,"[0.1538461595773697, 0.03846153989434242, 0.0, 0.03846153989434242, 0.0, 0.0, 0.03846153989434242, 0.0, 0.0, 0.0, 0.0, 0.03846153989434242, 0.0, 0.0, 0.03846153989434242, 0.0]",0,4
6,ulsan_001743,teacher_forced,-1,26,26,1.0,0.09855769528076053,0.26923078298568726,0.08717948943376541,"[0.26923078298568726, 0.1538461595773697, 0.07692307978868484, 0.19230769574642181, 0.1538461595773697, 0.19230769574642181, 0.07692307978868484, 0.11538461595773697, 0.07692307978868484, 0.07692307978868484, 0.0, 0.0, 0.0, 0.03846153989434242, 0.11538461595773697, 0.03846153989434242]",0,4
6,ulsan_002080,normal_ar,0,75,250,3.3333333333333335,0.011666666949167848,0.013333333656191826,0.011555555835366249,"[0.013333333656191826, 0.013333333656191826, 0.02666666731238365, 0.02666666731238365, 0.013333333656191826, 0.0, 0.0, 0.0, 0.013333333656191826, 0.0, 0.02666666731238365, 0.0, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002080,forced_gt_length,0,75,75,1.0,0.011666666949167848,0.013333333656191826,0.011555555835366249,"[0.013333333656191826, 0.013333333656191826, 0.02666666731238365, 0.02666666731238365, 0.013333333656191826, 0.0, 0.0, 0.0, 0.013333333656191826, 0.0, 0.02666666731238365, 0.0, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002080,switch_rollout,18,75,75,1.0,0.013333333772607148,0.06666667014360428,0.009777778014540672,"[0.06666667014360428, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826, 0.0, 0.013333333656191826, 0.0, 0.0, 0.013333333656191826, 0.0, 0.02666666731238365, 0.0, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002080,switch_rollout,37,75,75,1.0,0.018333333893679082,0.06666667014360428,0.015111111477017403,"[0.06666667014360428, 0.013333333656191826, 0.02666666731238365, 0.02666666731238365, 0.013333333656191826, 0.0, 0.013333333656191826, 0.0, 0.02666666731238365, 0.0, 0.02666666731238365, 0.0, 0.02666666731238365, 0.02666666731238365, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002080,switch_rollout,65,75,75,1.0,0.019166666781529784,0.07999999821186066,0.01511111135284106,"[0.07999999821186066, 0.013333333656191826, 0.03999999910593033, 0.02666666731238365, 0.013333333656191826, 0.0, 0.0, 0.0, 0.013333333656191826, 0.013333333656191826, 0.02666666731238365, 0.0, 0.02666666731238365, 0.02666666731238365, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002080,teacher_forced,-1,75,75,1.0,0.0316666669677943,0.11999999731779099,0.02577777827779452,"[0.11999999731779099, 0.03999999910593033, 0.06666667014360428, 0.02666666731238365, 0.013333333656191826, 0.02666666731238365, 0.0533333346247673, 0.02666666731238365, 0.02666666731238365, 0.0, 0.013333333656191826, 0.0, 0.02666666731238365, 0.03999999910593033, 0.013333333656191826, 0.013333333656191826]",0,1
6,ulsan_002458,normal_ar,0,74,250,3.3783783783783785,0.0244932429632172,0.027027027681469917,0.02432432398200035,"[0.027027027681469917, 0.0810810774564743, 0.04054053872823715, 0.04054053872823715, 0.027027027681469917, 0.013513513840734959, 0.0, 0.027027027681469917, 0.013513513840734959, 0.013513513840734959, 0.04054053872823715, 0.013513513840734959, 0.0, 0.027027027681469917, 0.0, 0.027027027681469917]",0,2
6,ulsan_002458,forced_gt_length,0,74,74,1.0,0.0244932429632172,0.027027027681469917,0.02432432398200035,"[0.027027027681469917, 0.0810810774564743, 0.04054053872823715, 0.04054053872823715, 0.027027027681469917, 0.013513513840734959, 0.0, 0.027027027681469917, 0.013513513840734959, 0.013513513840734959, 0.04054053872823715, 0.013513513840734959, 0.0, 0.027027027681469917, 0.0, 0.027027027681469917]",0,2
