sample_id,speaker,other_id,mode,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,q0_ce,residual_ce,mean_abs_logit_diff,kl_from_correct
ulsan_023618,DKSR20000957_2,ulsan_023611,correct,3.9942341670393944,0.2671568691730499,0.7843137383460999,0.23267973959445953,1.3162482976913452,4.172766558329264,0.0,0.0
ulsan_023618,DKSR20000957_2,ulsan_023611,zero,4.933229953050613,0.15196079015731812,0.29411765933036804,0.1424836665391922,4.0852460861206055,4.989762210845948,0.903225302696228,0.7956128716468811
ulsan_023618,DKSR20000957_2,ulsan_023611,random,5.3611622750759125,0.10906863212585449,0.21568627655506134,0.10196078568696976,4.915383338928223,5.390880870819092,1.112131118774414,1.1333907842636108
ulsan_023618,DKSR20000957_2,ulsan_023611,shuffled,4.043409705162048,0.25367647409439087,0.6666666865348816,0.22614379227161407,1.3894290924072266,4.2203417460123696,0.19991759955883026,0.04392080381512642
ulsan_011059,DKSR20001609_1,ulsan_011033,correct,3.861256390810013,0.3056640625,0.6875,0.2802083492279053,1.3617527484893799,4.027889966964722,0.0,0.0
ulsan_011059,DKSR20001609_1,ulsan_011033,zero,4.722550868988037,0.216796875,0.328125,0.20937500894069672,3.254544734954834,4.82041794459025,0.9043533802032471,0.7112825512886047
ulsan_011059,DKSR20001609_1,ulsan_011033,random,4.886183604598045,0.201171875,0.328125,0.1927083432674408,3.5803332328796387,4.973240296045939,0.9858163595199585,0.8681390285491943
ulsan_011059,DKSR20001609_1,ulsan_011033,shuffled,3.9516961574554443,0.296875,0.65625,0.27291667461395264,1.5626273155212402,4.110967413584391,0.278498113155365,0.07287038862705231
ulsan_008211,DKSR20001413_2,ulsan_008196,correct,3.5816610455513,0.3107142746448517,0.6000000238418579,0.2914285659790039,1.3522005081176758,3.730291748046875,0.0,0.0
ulsan_008211,DKSR20001413_2,ulsan_008196,zero,4.3203336745500565,0.23749999701976776,0.3285714387893677,0.23142856359481812,3.2078282833099365,4.394500700632731,0.7956061363220215,0.632838785648346
ulsan_008211,DKSR20001413_2,ulsan_008196,random,4.544483035802841,0.21339285373687744,0.2571428716182709,0.21047618985176086,3.459925651550293,4.616786861419678,0.9737315773963928,0.8627789616584778
ulsan_008211,DKSR20001413_2,ulsan_008196,shuffled,3.6890745609998703,0.2919642925262451,0.5857142806053162,0.2723809480667114,1.5153250694274902,3.833991193771362,0.2821892201900482,0.07609845697879791
ulsan_024098,DKSR20000961_1,ulsan_024045,correct,4.261815994977951,0.2109375,0.46875,0.19375000894069672,2.2509307861328125,4.39587500890096,0.0,0.0
ulsan_024098,DKSR20000961_1,ulsan_024045,zero,5.242101699113846,0.09765625,0.171875,0.09270834177732468,4.721940040588379,5.276779143015544,0.9348346590995789,0.8065317869186401
ulsan_024098,DKSR20000961_1,ulsan_024045,random,5.830532252788544,0.0830078125,0.125,0.08020833879709244,6.213033199310303,5.805032189687093,1.2110704183578491,1.2971811294555664
ulsan_024098,DKSR20000961_1,ulsan_024045,shuffled,4.349330052733421,0.193359375,0.390625,0.18020834028720856,2.4639031887054443,4.475025177001953,0.268862783908844,0.0738563984632492
ulsan_017636,DKSR20001288_2,ulsan_017614,correct,4.0806784108281136,0.24399039149284363,0.634615421295166,0.21794871985912323,1.7921491861343384,4.233247025807699,0.0,0.0
ulsan_017636,DKSR20001288_2,ulsan_017614,zero,5.143671989440918,0.125,0.2884615361690521,0.1141025647521019,4.102110862731934,5.213109397888184,0.9649074077606201,0.8764317035675049
ulsan_017636,DKSR20001288_2,ulsan_017614,random,5.541010558605194,0.09735577553510666,0.21153846383094788,0.08974359184503555,4.342167854309082,5.620933405558268,1.2076141834259033,1.3064653873443604
ulsan_017636,DKSR20001288_2,ulsan_017614,shuffled,4.138709791004658,0.24158655107021332,0.5961538553237915,0.21794871985912323,1.8482798337936401,4.2914051214853925,0.22231431305408478,0.04566021263599396
ulsan_002906,DKSR20001146_2,ulsan_002897,correct,3.934568464756012,0.2715517282485962,0.7241379022598267,0.24137930572032928,1.4613897800445557,4.099447043736776,0.0,0.0
ulsan_002906,DKSR20001146_2,ulsan_002897,zero,4.8526105880737305,0.1443965584039688,0.24137930572032928,0.13793103396892548,3.8382041454315186,4.920237684249878,0.8966039419174194,0.7374534010887146
ulsan_002906,DKSR20001146_2,ulsan_002897,random,5.364517241716385,0.13362069427967072,0.24137930572032928,0.12643678486347198,5.268929958343506,5.370889727274577,1.1519625186920166,1.179097056388855
ulsan_002906,DKSR20001146_2,ulsan_002897,shuffled,3.9942415356636047,0.24568966031074524,0.6551724076271057,0.2183908075094223,1.561765193939209,4.156406625111898,0.19008786976337433,0.033898089081048965
ulsan_004149,DKSR20001166_1,ulsan_004093,correct,4.198303930461407,0.21509739756584167,0.5454545617103577,0.1930736005306244,1.6604841947555542,4.367491912841797,0.0,0.0
ulsan_004149,DKSR20001166_1,ulsan_004093,zero,5.29419618844986,0.12662337720394135,0.2467532455921173,0.11861471831798553,4.211832523345947,5.366353766123454,1.0051498413085938,0.9359253644943237
ulsan_004149,DKSR20001166_1,ulsan_004093,random,5.534700304269791,0.10146103799343109,0.1818181872367859,0.09610389918088913,4.626011371612549,5.59527956644694,1.1295231580734253,1.1264907121658325
ulsan_004149,DKSR20001166_1,ulsan_004093,shuffled,4.294815018773079,0.2053571492433548,0.5454545617103577,0.18268398940563202,1.7848098278045654,4.46214869817098,0.2711288034915924,0.06646444648504257
ulsan_024564,DKSR20000962_1,ulsan_024533,correct,4.501877918839455,0.18482142686843872,0.5,0.16380952298641205,2.1136858463287354,4.661090723673502,0.0,0.0
ulsan_024564,DKSR20000962_1,ulsan_024533,zero,5.372613117098808,0.09910714626312256,0.2142857164144516,0.09142857044935226,3.935504198074341,5.468420378367106,0.9579709768295288,0.8002706170082092
ulsan_024564,DKSR20000962_1,ulsan_024533,random,5.920746922492981,0.07410714030265808,0.17142857611179352,0.06761904805898666,4.9280595779418945,5.986926078796387,1.217781662940979,1.2878823280334473
ulsan_024564,DKSR20000962_1,ulsan_024533,shuffled,4.557427257299423,0.17589285969734192,0.44285714626312256,0.15809524059295654,2.1488561630249023,4.717998663584392,0.2212681770324707,0.043856292963027954
ulsan_001001,DKSR20000960_2,ulsan_000991,correct,4.132519885897636,0.2425595223903656,0.7142857313156128,0.21111111342906952,1.4571645259857178,4.310876909891764,0.0,0.0
ulsan_001001,DKSR20000960_2,ulsan_000991,zero,5.294608309864998,0.092261902987957,0.261904776096344,0.08095238357782364,3.711080551147461,5.400176827112833,1.0272982120513916,0.9129898548126221
ulsan_001001,DKSR20000960_2,ulsan_000991,random,5.711877733469009,0.0907738134264946,0.3333333432674408,0.07460317760705948,4.266822338104248,5.80821475982666,1.2222644090652466,1.2900564670562744
ulsan_001001,DKSR20000960_2,ulsan_000991,shuffled,4.147445231676102,0.2380952388048172,0.6904761791229248,0.20793651044368744,1.5255320072174072,4.3222394466400145,0.15796945989131927,0.023381881415843964
ulsan_003299,DKSR20001147_2,ulsan_003267,correct,1.990420587360859,0.5810185074806213,0.7037037014961243,0.5728395581245422,1.4438889026641846,2.026856033007304,0.0,0.0
ulsan_003299,DKSR20001147_2,ulsan_003267,zero,2.563459075987339,0.5092592835426331,0.5185185074806213,0.5086420178413391,2.165013551712036,2.590022110939026,0.8651992678642273,0.5291588306427002
ulsan_003299,DKSR20001147_2,ulsan_003267,random,2.763426385819912,0.46064814925193787,0.29629629850387573,0.47160497307777405,3.3677477836608887,2.7231382926305137,0.9777547121047974,0.732242226600647
ulsan_003299,DKSR20001147_2,ulsan_003267,shuffled,2.0082713589072227,0.5763888955116272,0.7407407760620117,0.5654321312904358,1.4692999124526978,2.044202788670858,0.1147717759013176,0.011096250265836716
